Region,Source,Other Names,RA_Galario_deg,Dec_Galario_deg,Mstar_PPVII,Dist_DR3,vsys_v2,vsys_v2_err,vsys_v2_notes,PA_DECO,PA_DECO_Err,PA_Notes,Inc_DECO,Inc_DECO_Err,Inc_Notes
ChaI,J11113965-7620152,XX Cha,167.9146604,-76.337508,0.248,190,5.02,0.002,,305.18,,Eddy,24.03,18.420,Literature
ChaI,J11105333-7634319,,167.7216204,-76.575578,0.291,193.23,4.54,,,164.31,,Eddy,46.76,13.830,Literature
ChaI,J11104959-7717517,,167.7059758,-77.297703,0.383,186.69,4.57,,,73.3,,Eddy,61.71,10.220,Literature
ChaI,J11092379-7623207,,167.3485212,-76.389129,0.496,191.12,5.42,,,219.587,,Updated to Galario+180 (05-20-2025); DECO Dust + Gas Check,15.63,10.290,Literature
ChaI,J11085367-7521359,,167.2231058,-75.359996,0.497,190.51,4.16,,,58.23,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,37.83,22.380,Literature
ChaI,J11173700-7704381,,169.403531,-77.077268,0.52,188.88,3.71,,,218.55,,Updated to Eddy (05-06-2025); DECO Dust + Gas Check,43.77,19.460,Literature
ChaI,J11095407-7629253,HX Cha A (pointing center),167.4746854,-76.490436,0.544,190,5.02,,,315.92,,Eddy / known binary,49.65,,Eddy / known binary
ChaI,J11094742-7726290,,167.44691,-77.441441,0.557,191.42,5.17,,,208.087,,Updated to Galario+180 (05-20-2025); DECO Dust + Gas Check,54.12,1.930,Literature
ChaI,J11123092-7644241,,168.1282504,-76.740001,0.576,194.25,4.74,,,103.4,,Eddy,24.56,19.260,Literature
ChaI,J11100704-7629376,,167.5287167,-76.493805,0.63,190,2.04,,,128.05,,Eddy,0,,unresolved
ChaI,J11100369-7633291,Hn11,167.5147846,-76.558125,0.646,195.75,4.91,,,211.51,,Eddy,64.77,13.920,Literature
ChaI,J11095340-7634255,,167.4717917,-76.57375,0.65,190,5.56,,,26.11,,Updated to Luigi (05-20-2025); DECO Dust + Gas Check,51.26,3.230,Literature
ChaI,J10590108-7722407,,164.7538279,-77.378032,0.7,183.12,5.17,,,124.19,1.5,csalt; agrees with galario and eddy. ,31.52,2.029,Galario; Agrees with poorer fit in Hendler+2020. 
ChaI,J11100469-7635452,,167.5189633,-76.595919,0.7,193.06,5.95,0.5,old,89.84,27.43,Looks off-center (05-20-2025); Hendler+20 - note CONTINUUM,60.67,25.290,Literature
ChaI,J11080148-7742288,VW Cha,167.0057592,-77.707936,0.705,190,2.19,,,121.055,,Updated to Galario (05-06-2025); Eddy,21.6,,Eddy
ChaI,J10555973-7724399,SX Cha A (pointing center),163.9986554,-77.411142,0.79,183.48,4.71,,,48.67,3.8,Either off-center or could be a binary at delta_RADec of -2 and -1 (05-20-2025); Eddy Fit to CS; uncertainty may be under estimated here; continuum center seems off,48.668,3.8,Galario; Agrees with poorer fit in Hendler+2020. 
ChaI,J11075792-7738449,,166.9906646,-77.645823,0.82,190,2.92,,,288.367,,Updated to Galario+180 (05-20-2025); Eddy; added 65 degrees after check with N.Green (2025-09-24),79.218,9.243,Galario; agrees with Belloche+2011
ChaI,J10581677-7717170,,164.5691929,-77.288096,1.27,190,5.3,,,156.185,0.217,Galario PA with csalt confirmed direction. Consistent with Hendler+2020,42.488,0.168,Galario; Agrees with poorer fit in Hendler+2020. 
ChaI,J11114632-7620092,,167.9424371,-76.335822,1.27,191.61,4.94,,,304.08,,Eddy,56.51,12.050,Literature
ChaI,J11081509-7733531,,167.0630304,-77.564842,1.43,190,5.06,0.2,old,160.393,,Updated to Galario (05-20-2025) but note archival data is off-center; DECO Dust + Gas Check,37,NaN,Literature
Lupus,Sz66,,234.86773,-34.771831,0.291,155.92,4.63,,,260,1,Looks off-center (05-20-2025); Miley+24,68,1,Miley+24
Lupus,Sz95,,241.9678671,-38.968504,0.291,160.47,4.68,,,75,,Yen+18,50,3.000,Yen+18
Lupus,Sz130,,240.1292162,-41.72709,0.394,159.18,4.12,,,324.46,0.32,csalt value consistent with eddy,65.111,7.656,Galario - new fit with all EBs
Lupus,Sz71,GWLup,236.6862462,-34.51007,0.414,155.2,3.59,,,37.1,,Eddy,38.7,0.300,Huang+18
Lupus,Sz96,,242.0525304,-39.142777,0.463,155.98,1.24,,,58.8,,DECO Dust + Gas Check,48.9,3.000,Guerra-Alvarado+25 consistent with Galario and Eddy
Lupus,J16124373-3815031,,243.1822112,-38.250996,0.47,159.85,4.44,,,200.86,,Updated to Luigi (05-20-2025); DECO Dust + Gas Check,43.69,7.390,Literature
Lupus,Sz111,,242.2277592,-39.628802,0.52,158.37,4.06,,,44.604,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,47.02,1.000,Eddy
Lupus,Sz91,,241.7981829,-39.063345,0.52,159.39,3.39,,,195.116,,Updated to Galario+180 (05-20-2025); Tsukagoshi+19 + Mauco+21,49.7,0.200,Tsukagoshi+19
Lupus,Sz98,,242.0936317,-39.079723,0.55,156.27,3.01,,,111.022,,Updated to Galario (05-20-2025); Ansdell Dust + Gas Check,54.56,0.700,Eddy
Lupus,Sz123A,Not Sz123B,242.7148833,-38.88732917,0.557,162.19,4.51,,luigi,155.45,0.1,Looks off-center (05-20-2025); Luigi,53.29,0.75,Luigi
Lupus,Sz65,,234.8655962,-34.771591,0.61,153.47,4.55,,,290,1,Looks off-center (05-20-2025); Miley+24,63,1,Miley+24
Lupus,Sz75,,237.3003133,-35.651557,0.61,154.1,2.76,,,345.842,,Needs Check - Flipped Galario,63.119,1.81,Galario
Lupus,Sz77,,237.9455483,-35.94574,0.67,155.25,2.4,,,173.46,,Eddy,47.4,5.000,Literature
Lupus,Sz129,,239.8185254,-41.953007,0.73,160.13,4,,,152,,Eddy,34.1,1.300,Literature
Lupus,Sz90,,241.7918683,-39.184402,0.73,160.37,5.24,,,125,,Eddy,56.6,0.500,Literature consistent with Galario
Lupus,Sz118,,242.4526317,-39.188169,0.83,161.46,3.59,,,172.63,,Updated to Galario (05-20-2025); eddy,50,1.000,eddy
Lupus,V1094Sco,,242.1506425,-39.384169,0.92,160,5.5,,,109.444,0.174,Galario but consistent with Ansdell and confirmed with gas,49.17,,Eddy
Lupus,MYLup,,240.1853829,-41.925405,1.19,158.5,4.73,,,238.585,,Updated to Galario+180 (05-20-2025); Eddy,73.2,0.100,Dust Literature
Lupus,J16083070-3828268,,242.1278246,-38.474291,1.27,158.5,5.16,,,107.644,,Updated to Galario (05-20-2025); Eddy,53.71,,Eddy
Lupus,Sz68,HTLup AB (pointing center),236.3034883,-34.29199,1.32,158.5,5.42,,,176,,eddy +confirm,35.411,1.379,Galario
ROph,J162816.5-243658,,247.0687454,-24.616295,0.2075,134.98,4.02,,,293.31,,Eddy,28,NaN,Literature
ROph,J162649.0-243825,,246.70406,-24.640489,0.292,132.51,2.37,,,128.402,,Updated to Galario (05-20-2025); Eddy,22,5.020,Literature
ROph,J162755.6-242618,,246.9815329,-24.438517,0.368,131.65,3.03,,,354.86,,DECO Dust + Gas Check; updated (05-06-25) to Eddy,20.86,,Eddy
ROph,J162854.1-244744,,247.2252833,-24.795803,0.396,136.46,4.32,,,180.471,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,50,3.620,Literature
ROph,J162616.8-242223,,246.5701675,-24.373279,0.54,137.42,1.24,,,171.4,,Eddy,38.22,,Eddy
ROph,J162739.4-243915,,246.91425,-24.654481,0.551,135.27,3.19,,,138.782,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,54,0.300,Literature
ROph,J162645.0-242308,Elias27,246.6875704,-24.38568,0.557,110.07,2,,,118.9,,Updated to Eddy (05-06-2025); DECO Dust + Gas Check,56,0.800,Literature
ROph,J162713.7-241817,,246.8071596,-24.304864,0.57,137.2,0.36,,,180,,DECO Dust + Gas Check,0,,unresolved
